Nama Kampus,Sinta score
Universitas Aisyah Pringsewu,34.192
Universitas Bhakti Kencana,33.716
Universitas YARSI,33.625
Universitas Nusa Putra,33.386
Universitas Musamus Merauke,32.951
Institut Teknologi dan Kesehatan Bali,32.934
Universitas Islam Nusantara,32.762
Universitas Teknokrat Indonesia,32.690
Universitas Islam Sumatera Utara,32.170
Poltekkes Kemenkes Surabaya,31.986
Universitas Wijaya Putra,31.715
Universitas Pembangunan Jaya,31.688
Universitas Muhammadiyah Tangerang,31.645
Universitas Riau Kepulauan,31.508
Universitas 17 Agustus 1945 Samarinda,31.338
Institut Ilmu Sosial dan Manajemen STIAMI,31.302
Universitas Asahan,31.069
Universitas Megarezky,30.932
Universitas Binawan,30.926
Universitas Respati Yogyakarta,30.914
Institut Pariwisata Trisakti,30.839
Universitas Budi Luhur,30.747
Universitas Pendidikan Nasional,30.729
Universitas Muhammadiyah Pekajangan Pekalongan,30.582
Universitas Putera Batam,30.394
Universitas Muhammadiyah Cirebon,30.386
Universitas Raharja,30.282
Universitas Katolik Indonesia Santu Paulus Ruteng,30.276
Universitas Hamzanwadi,30.101
Universitas Muhammadiyah Pare-pare,30.023
Politeknik Negeri Banjarmasin,29.760
Institut Teknologi dan Bisnis STIKOM Bali,29.458
Universitas Kristen Duta Wacana,29.181
Universitas Islam Negeri Syekh AIi Hasan Ahmad Addary Padangsidimpuan,29.136
Universitas Nahdlatul Ulama Sunan Giri,28.802
Institut Seni Indonesia Surakarta,28.800
Universitas Harapan Medan,28.464
Universitas Tribhuwana Tungga Dewi,28.453
Universitas Muhammadiyah Riau,28.315
Universitas Muhammadiyah Palangka Raya,28.149
Universitas Dhyana Pura,27.997
Universitas Flores,27.975
Universitas Wiraraja,27.960
Universitas Muhammadiyah Pare-pare,27.960
Universitas Pancasakti Tegal,27.805
Politeknik Negeri Batam,27.650
Universitas Bina Bangsa,27.418
Institut Agama Islam Negeri ParePare,27.146
Universitas Kristen Indonesia Toraja,27.142
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,26.845
Universitas Labuhanbatu,26.613
Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,26.610
Universitas Muhammadiyah Tasikmalaya,26.411
Institut Keguruan dan Ilmu Pendidikan Siliwangi,26.395
Institut Teknologi Nasional Yogyakarta,26.121
Institut Bisnis dan Teknologi Indonesia,26.108
Universitas Paramadina,26.026
Universitas Bandar Lampung,25.981
Universitas Teknologi Sumbawa,25.840
Universitas 'Aisyiyah Surakarta,25.756
Universitas Simalungun,25.736
Institut Ilmu Kesehatan Bhakti Wiyata Kediri,25.352
Universitas Nurul Jadid,25.299
Institut Teknologi Perusahaan Listrik Negara,25.215
Universitas Muhammadiyah Pontianak,25.194
Universitas Bina Bangsa Getsempena,25.102
Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,24.981
Institut Teknologi dan Bisnis Asia Malang,24.605
Universitas Islam Syekh-Yusuf,24.388
Universitas Harapan Bangsa,24.263
Universitas Indonesia Maju,24.277
Universitas Ichsan Gorontalo,24.175
Universitas Islam Negeri Fatmawati Sukarno Bengkulu,24.093
Universitas Widya Gama,24.019
Universitas Mandala Waluya,23.789
Universitas Muhammadiyah Sorong,23.752
Universitas Klabat,23.751
Politeknik Kesehatan Kementerian Kesehatan Jakarta III,23.716
Universitas Muhammadiyah Kendari,23.640
Universitas Bhayangkara Surabaya,23.601
Universitas Balikpapan,23.441
Universitas Ibrahimy,23.417
Institut Teknologi Nasional Bandung,23.277
Universitas PGRI Silampari,23.216
Politeknik Kesehatan Kementerian Kesehatan Denpasar,23.198
"Institut Teknologi, Sains, dan Kesehatan RS.DR. Soepraoen Kesdam V/BRW",23.167
Institut Seni Indonesia Denpasar,23.133
Universitas Muhammadiyah Palopo,23.098
Universitas Bumigora,23.031
STIKes Mitra Husada Medan,22.985
Universitas Majalengka,22.962
Universitas Islam Negeri Mahmud Yunus Batusangkar,22.935
Institut Seni Budaya Indonesia Bandung,22.882
Universitas PGRI Pontianak,22.808
Universitas Muhammadiyah Gorontalo,22.654
Universitas Adhirajasa Reswara Sanjaya,22.637
Universitas Islam Negeri Mataram,22.620
Universitas Yudharta Pasuruan,22.521
Universitas Teknologi Yogyakarta,22.499
Universitas Serambi Mekkah,22.413
Universitas Islam Kadiri,22.393
Universitas Respati Indonesia,22.362
Institut Bisnis Dan Teknologi Pelita Indonesia,22.319
Politeknik Kesehatan Kementerian Kesehatan Medan,22.290
Institut Komunikasi dan Bisnis LSPR,22.208
Universitas Janabadra,22.170
Universitas Ngudi Waluyo,22.090
Universitas Sahid,21.998
Universitas Islam Negeri Sultan Aji Muhammad Idris Samarinda,21.893
Universitas Muhammadiyah Sumatera Barat,21.823
Politeknik Negeri Banyuwangi,21.800
Universitas Perjuangan Tasikmalaya,21.797
Universitas Hasyim Asy'ari,21.733
Politeknik Negeri Media Kreatif,21.693
Universitas Wisnuwardhana,21.641
Institut Bio Scientia Internasional Indonesia,21.629
Universitas Bung Hatta,21.483
Politeknik Negeri Kupang,21.256
Disable -- IKIP Budi Utomo,21.169
POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALU,20.908
Universitas Amikom Purwokerto,20.859
Universitas Pahlawan Tuanku Tambusai,20.838
Universitas Nusa Nipa,20.768
Universitas Trilogi,20.760
Universitas Dr. Soebandi,20.748
Universitas 'Aisyiyah Bandung,20.745
Universitas Kristen Krida Wacana,20.639
IAIN Kendari,20.624
Universitas Sari Mulia,20.588
Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Dharma,20.525
Universitas Islam Negeri Antasari Banjarmasin,20.501
Universitas Advent Indonesia,20.411
Institut Pariwisata dan Bisnis Internasional,20.394
Universitas Muhammadiyah Banjarmasin,20.113
Universitas Hindu Indonesia,20.054
Universitas Islam Al-Azhar,19.984
Universitas Islam Balitar,19.768
Universitas Persada Indonesia Yai,19.762
Universitas Mohammad Natsir Bukittinggi,19.749
Universitas Islam Madura,19.739
Poltekkes Kemenkes Makassar,19.610
Universitas Muhadi Setiabudi,19.554
Universitas Royal,19.530
